VP,radix,polarity
남다른,None,1
소화하고 있는,None,1
완벽히 소화했다,None,1
완수하,None,1
찰떡같이 소화하는,None,1
멋지게 소화하,None,1
가장 주목받는,None,1
완벽하게 소화한,None,1
멋지게 소화했,None,1
함께 소화해,None,1
찰떡같이 소화해내는,None,1
상큼하게 소화했,None,1
자연스럽게 소화,None,1
완벽하게 소화해냈,None,1
모두 소화하는,None,1
깨끗하면서 투명한,None,1
무리없이 소화하는,None,1
소화해,None,1
자연스럽게 소화해,None,1
능숙하게 소화하는,None,1
매력적으로 소화할,None,1
멋스럽게 소화했,None,1
항상 밝은,None,1
실력으로 인정받은,None,1
폭넓게 소화하,None,1
귀엽게 소화했다는,None,1
과감하게 소화하는,None,1
소화해준다는,None,1
훨씬 다재다능한,None,1
정말 잘할,None,1
예쁘기만,None,1
멋지게 소화한,None,1
충분히 소화할,None,1
차질없이 소화할,None,1
소화가능한,None,1
넓은,None,1
높아지는,None,1
높다,높,1
높아,높,1
높았,높,1
높을,높,1
높은,높,1
높던,높,1
높여,높,1
높아지,None,1
가장 높은,None,1
한껏 높였다,None,1
매우 높은,None,1
높아져가는,None,1
높아지겠,None,1
과시,과하,1
지지,지지,1
스타일리쉬하,None,1
강렬하게 선보이,None,1
재밌고 신나는,None,1
충분히 좋았다,None,1
상큼청량한,None,1
위풍당당하,None,1
해맑고 밝은,None,1
걸리쉬한,None,1
한껏 섹시한,None,1
예쁘게 나오겠,None,1
풍요로운,None,1
무난하게 선보였,None,1
완벽하게 어우러지,None,1
뭉클해지는,None,1
귀엽잖아,None,1
많이 좋아하는,None,1
가장 주목할만한,None,1
우아하고 세련되,None,1
귀여우면서도 우아한,None,1
필적할,None,1
마냥 좋은,None,1
고결한,None,1
힙하게 예쁘,None,1
진짜 뽀얗다,None,1
뽀얗,None,1
너무 좋아,None,1
막힘없이 소화해낸,None,1
너무 청량해,None,1
소중하고 간절한,None,1
예쁘고 귀엽,None,1
가득가득한,None,1
청순함 가득한,None,1
색상과 어울리는,None,1
한층 풍성하게,None,1
감성에 젖어든,None,1
풍성하게 채우는,None,1
듬직하,None,1
듬직하고 훈훈한,None,1
따뜻하고 섬세한,None,1
아름답게 빛나는,None,1
다채롭게 꾸몄,None,1
걸크러쉬한,None,1
감미롭고 다채로운,None,1
조화롭게 어우러졌,None,1
가장 좋았던,None,1
대박난,None,1
유의미하,None,1
황금보다 빛나는,None,1
한층 다양한,None,1
새롭게 보여주는,None,1
제일 빛나는,None,1
선사해주,None,1
컬러풀하,None,1
가장 주목받은,None,1
자신만만한,None,1
능수능란한,None,1
여전히 훈훈한,None,1
새롭게 단장,None,1
업그레이드하는,None,1
고급스런,None,1
섹시로 무장한,None,1
볼만한,None,1
기대되고 설레,None,1
재조명하는,None,1
상큼하고 밝은,None,1
승승장구하던,None,1
경쾌하고 캐주얼한,None,1
로맨틱하,None,1
정의로운,None,1
아름답고 맑은,None,1
청순하고 발랄한,None,1
초롱초롱 빛나는,None,1
순하고 해맑은,None,1
자연스런,None,1
테크니컬한,None,1
건강하고 섹시한,None,1
예쁨 넘치는,None,1
요즘에 핫한,None,1
허스키하,None,1
한층 고조되고,None,1
갈수록 고조되는,None,1
파워풀하면서도 절제된,None,1
직관만큼 생생한,None,1
더욱 과감하고,None,1
