NP,tag,group,count,polarity,pair
매력,o,['분위기'],1732,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, -1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, -1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, -1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, -1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, -1, 1, 1, 1, 1, 1, -1, 1]","['다양한_매력', '시크한_매력', '섹시한_매력', '없는_매력', '사랑스러운_매력', '상큼한_매력', '신선한_매력', '통통 튀는_매력', '러블리한_매력', '발랄한_매력', '유니크한_매력', '상반된_매력', '없던_매력', '에너제틱한_매력', '키치한_매력', '성숙한_매력', '톡톡 튀는_매력', '파워풀한_매력', '당당한_매력', '청아한_매력', '자유분방한_매력', '자유로운_매력', '펑키한_매력', '싱그러운_매력', '세련된_매력', '거침없는_매력', '솔직_매력', '특별한_매력', '유쾌한_매력', '우아한_매력', '청순한_매력', '꾸밈없는_매력', '아찔한_매력', '내추럴한_매력', '상큼발랄한_매력', '가득한_매력', '깜찍한_매력', '스타일리시한_매력', '친근한_매력', '쾌활한_매력', '빠져들게 만드는_매력', '잔망스런_매력', '신비로운_매력', '당찬_매력', '풋풋한_매력', '밝은_매력', '요염한_매력', '상큼_매력', '활발한_매력', '돋보이는_매력', '독특한_매력', '아기자기한_매력', '대체 불가한_매력', '트렌디한_매력', '솔직한_매력', '더욱 다채로운_매력', '좋은_매력', '엉뚱한_매력', '건강한_매력', '화사_매력', '여유로운_매력', '댄디한_매력', '한층 성숙해진_매력', '컬러풀한_매력', '고급스러운_매력', '자연스러운_매력', '순수한_매력', '오묘한_매력', '경쾌한_매력', '로맨틱한_매력', '명랑한_매력', '능청스러운_매력', '천진난만한_매력', '걸크러시한_매력', '풍성한_매력', '절묘한_매력', '변화무쌍한_매력', '훈훈한_매력', '럭셔리한_매력', '화려한_매력', '달콤한_매력', '젠틀한_매력', '사로잡는_매력', '강인한_매력', '빼앗는_매력', '귀엽고 사랑스러운_매력', '수수한_매력', '털털한_매력', '섹시_매력', '와일드한_매력', '사로잡은_매력', '강렬함_매력', '진정한_매력', '우아_매력', '반한_매력', '변신한_매력', '시원한_매력', '선사할_매력', '미스터리한_매력', '진솔한_매력', '차별화된_매력', '오묘하_매력', '기대_매력', '대단한_매력', '설렘_매력', '발전_매력', '포근한_매력', '감탄한_매력', '편안한_매력', '감미로운_매력', '예쁨_매력', '과감한_매력', '다정한_매력', '강렬_매력', '아이코닉한_매력', '출중한_매력', '자랑하는_매력', '훤칠한_매력', '놀라_매력', '성숙_매력', '자랑한_매력', '샤프한_매력', '능력_매력', '깊어진_매력', '한층 짙어진_매력', '빛나는_매력', '짜릿한_매력', '느껴지는_매력', '따뜻한_매력', '더한_매력', '힘든_매력', '더욱 다채로워진_매력', '블링블링한_매력', '조화로운_매력', '숨막히는_매력', '사로잡을_매력', '못했던_매력', '소울풀한_매력']"
분위기,o,['분위기'],1348,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 0, 1, 1, -1, 0, 1, 1, 1, 0, -1, 0, 1, 1, -1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, -1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, -1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, -1, 1, 0, 1, 0, 1]","['밝은_분위기', '신비로운_분위기', '따뜻한_분위기', '시크한_분위기', '사랑스러운_분위기', '화기애애한_분위기', '유쾌한_분위기', '훈훈한_분위기', '애절한_분위기', '희망_분위기', '자유로운_분위기', '섹시한_분위기', '사랑_분위기', '세련된_분위기', '다양한_분위기', '성숙_분위기', '레트로한_분위기', '오묘한_분위기', '여유로운_분위기', '상반된_분위기', '우아한_분위기', '한층 성숙해진_분위기', '한층 짙어진_분위기', '선보이는_분위기', '경쾌한_분위기', '싱그러운_분위기', '설레는_분위기', '막히는_분위기', '로맨틱한_분위기', '화사한_분위기', '독특한_분위기', '편안한_분위기', '성숙한_분위기', '펑키한_분위기', '자연스러운_분위기', '내추럴한_분위기', '위태로운_분위기', '빈티지한_분위기', '감미로운_분위기', '포근한_분위기', '청순한_분위기', '심상치 않은_분위기', '쓸쓸한_분위기', '모던한_분위기', '설렘 가득한_분위기', '돋보이는_분위기', '어색한_분위기', '가득한_분위기', '압도_분위기', '자유분방한_분위기', '신나는_분위기', '러블리한_분위기', '행복한_분위기', '화려한_분위기', '사로잡는_분위기', '럭셔리한_분위기', '수수한_분위기', '고급스러운_분위기', '발랄한_분위기', '그루브한_분위기', '미묘한_분위기', '신선한_분위기', '달달한_분위기', '맑은_분위기', '에너제틱한_분위기', '시원한_분위기', '진지한_분위기', '댄디한_분위기', '유니크한_분위기', '압도하는_분위기', '소박한_분위기', '따뜻하고 편안한_분위기', '아찔한_분위기', '다정한_분위기', '생생한_분위기', '뽐낸_분위기', '웅장한_분위기', '멋스러운_분위기', '평화로운_분위기', '과감한_분위기', '당당한_분위기', '단아한_분위기', '특별한_분위기', '바르_분위기', '감동_분위기', '위축된_분위기', '와일드한_분위기', '이기_분위기', '화사_분위기', '산뜻한_분위기', '즐거웠던_분위기', '완벽한_분위기', '파워풀_분위기', '톡톡 튀는_분위기', '상큼한_분위기', '통통 튀는_분위기', '트렌디한_분위기', '강렬하고 파워풀한_분위기', '깊어진_분위기', '드라마틱한_분위기', '아기자기한_분위기', '달콤한_분위기', '쾌활한_분위기', '깜찍한_분위기', '설렘_분위기', '싸늘한_분위기', '강렬_분위기', '없는_분위기', '어울리는_분위기', '여리여리한_분위기', '섬세한_분위기']"
무대,o,['퍼포먼스'],1260,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, -1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","['무대_선보였', '무대_선사할', '무대_간절한', '무대_선사한', '무대_선보이는', '무대_선보일지', '무대_사로잡았', '무대_돋보이는', '무대_화려한', '무대_즐기는', '무대_받는', '무대_완성', '무대_선사', '무대_압도하는', '무대_사로잡', '무대_장악한', '무대_압도했', '무대_압도', '무대_좋은', '무대_즐겨', '무대_선보이고 있는', '무대_아니', '무대_짜릿한', '무대_완성했', '무대_재해석하', '무대_선사하는', '무대_매료시킬', '무대_완성한', '무대_선보였던', '무대_화려하게 장식했', '무대_끌었', '무대_받았', '무대_즐기', '무대_믿듣', '무대_평범한', '무대_사로잡을', '무대_기대된다', '무대_사로잡는', '무대_장악', '무대_많은', '무대_특별했', '무대_완성됐', '무대_없어', '무대_화려하', '무대_특별함', '무대_장식', '무대_자아냈', '무대_자랑했', '무대_뜨겁게 달궜', '무대_과감한', '무대_파워풀한', '무대_칭찬했', '무대_기대', '무대_이야기', '무대_특별한', '무대_자랑한', '무대_강렬', '무대_과감', '무대_소중하', '무대_극대화시키', '무대_받을', '무대_설레', '무대_환호', '무대_놀뭐', '무대_강렬하', '무대_못하는', '무대_압도하', '무대_사로잡은', '무대_상큼하', '무대_신기', '무대_완벽히 소화한', '무대_누비는', '무대_좋아할', '무대_많아', '무대_훈훈함', '무대_화사', '무대_완벽하게 소화했', '무대_발랄하', '무대_편안한', '무대_완벽', '무대_어색', '무대_다양한', '무대_사랑', '무대_완전', '무대_더한', '무대_폭넓은', '무대_다채', '무대_설렘', '무대_웅장한', '무대_섹시', '무대_중단한', '무대_기대하게 만들', '무대_여유', '무대_그립다', '무대_차지했', '무대_완성하는', '무대_기대했', '무대_자유로운', '무대_치열한', '무대_화려함', '무대_좋았다', '무대_잘하', '무대_돋보였다', '무대_사랑하는', '무대_성사']"
무대,o,['퍼포먼스'],1183,"[1, -1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['화려한_무대', '못했던_무대', '특별한_무대', '완벽한_무대', '없는_무대', '돋보이는_무대', '좋은_무대', '다양한_무대', '파워풀한_무대', '높은_무대', '가득한_무대', '풍성한_무대', '만족시킬_무대', '감동_무대', '사로잡는_무대', '차별화된_무대', '열광_무대', '신나는_무대', '화사_무대', '압도_무대', '높이는_무대', '섹시한_무대', '이루는_무대', '폭발하는_무대', '유쾌한_무대', '사로잡은_무대', '노련한_무대', '상큼한_무대', '불가능한_무대', '감미로운_무대', '거침없는_무대', '황홀한_무대', '빛나는_무대', '화끈한_무대', '뚜렷한_무대', '발랄한_무대', '시원한_무대', '완전_무대', '깊은_무대', '치열한_무대', '깜찍한_무대', '가장 좋은_무대', '자아내는_무대', '더한_무대', '보여주지 못했던_무대', '에너제틱한_무대', '사랑스러운_무대', '뽐내는_무대', '행복한_무대', '압도하는_무대', '뜻깊은_무대', '독특한_무대', '신명나는_무대', '받은_무대', '유명한_무대', '웅장한_무대', '설레는_무대', '애절한_무대', '가능한_무대', '잘하는_무대', '통통 튀는_무대', '자극하는_무대', '자랑하는_무대', '성공_무대', '신비롭_무대', '이루_무대', '수많은_무대', '소울풀한_무대', '간절한_무대', '반가운_무대', '이야기_무대', '능가하는_무대', '걸크러시한_무대', '찬란한_무대', '함께 꾸미는_무대', '과감한_무대', '완벽_무대', '리드미컬한_무대', '탄탄한_무대', '또렷한_무대', '느껴지는_무대', '사랑_무대', '뜨거웠던_무대', '넓은_무대', '멋지_무대', '아찔한_무대', '우아한_무대', '반하는_무대', '즐기는_무대', '유니크한_무대', '빠져들게 만드는_무대', '신선한_무대', '멋있는_무대', '당당한_무대', '짜릿한_무대', '비상하는_무대', '강렬하고 파워풀한_무대', '여유로운_무대', '장식하는_무대', '짧은_무대', '재치있는_무대', '특별_무대', '훈훈한_무대', '상쾌한_무대', '시크한_무대', '깊이 있는_무대', '달성한_무대', '선보이는_무대', '고풍스러운_무대', '극복하_무대']"
매력,o,['분위기'],928,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, -1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['매력_드러냈', '매력_선사한', '매력_자랑했', '매력_뽐내', '매력_돋보이는', '매력_선보였', '매력_뽐낸', '매력_더한', '매력_선보일지', '매력_과시했', '매력_가득한', '매력_선사할', '매력_기대된다', '매력_아우르는', '매력_뽐내고 있는', '매력_자아냈', '매력_극대화하는', '매력_더욱 돋보이게', '매력_돋보인', '매력_사로잡을', '매력_없다', '매력_선사하는', '매력_겸비한', '매력_자아내', '매력_뽐내는', '매력_즐기는', '매력_어필했', '매력_더할', '매력_더하', '매력_솔직함', '매력_강조했', '매력_사로잡았', '매력_자랑하는', '매력_어필하는', '매력_돋보였다', '매력_자랑하', '매력_자랑한', '매력_사로잡은', '매력_사로잡는', '매력_끌었', '매력_폭발하는', '매력_발휘', '매력_자랑', '매력_선사', '매력_능청스러운', '매력_많은', '매력_폭발한', '매력_어필하', '매력_느끼실', '매력_단숨에 매료시켰다', '매력_과시한', '매력_느껴지는', '매력_뚜렷하', '매력_예쁨', '매력_더했', '매력_기대', '매력_인정받', '매력_완성', '매력_사랑스러움', '매력_세련된', '매력_사로잡', '매력_기대되', '매력_느끼', '매력_설렘', '매력_청순한', '매력_발휘했', '매력_톡톡 튀는', '매력_완벽한', '매력_칭찬했', '매력_빛나는', '매력_발휘한', '매력_선보이는', '매력_많을', '매력_발휘할', '매력_싱그러운', '매력_자연스러운', '매력_한껏 끌어올렸다', '매력_높였', '매력_화려한', '매력_칭찬하', '매력_강조하는', '매력_뛰어나', '매력_끌어', '매력_글래머스한']"
활동,o,['앨범'],925,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, -1, 1, 1, 0, 1, 1]","['활발한_활동', '다양한_활동', '왕성한_활동', '많은_활동', '꾸준한_활동', '성공_활동', '없는_활동', '재미있는_활동', '좋은_활동', '짧은_활동', '특별한_활동', '완전_활동', '따뜻한_활동', '넓은_활동', '함께 다양한_활동', '자유로운_활동', '온전한_활동', '사로잡는_활동', '뜻깊은_활동', '뚜렷한_활동', '돕기_활동', '화사_활동', '활발_활동', '유의미한_활동', '반성_활동', '유명_활동', '건강_활동', '조용한_활동', '재밌는_활동', '건강하_활동']"
모습,o,['분위기'],848,"[1, 1, 1, 1, 1, -1, 1, 0, 1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 0, -1, -1, 1, 0, 1, -1, 0, -1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, -1, 1, 1, 1, 1, 0, 1, -1, 0, 1, 1, 1, 1, -1, 0, 1, 1, 1, 0, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 0, -1, 1, 1, 1, -1, 1, 1, -1, 1, -1, -1, 1, -1, 0, -1, 1, 0, 1, 0, 1]","['다양한_모습', '좋은_모습', '기대하는_모습', '가득한_모습', '열심히 하는_모습', '긴장한_모습', '성숙한_모습', '없는_모습', '즐기는_모습', '밝은_모습', '친근한_모습', '멋있는_모습', '화려한_모습', '피곤한_모습', '에너제틱한_모습', '한층 성숙해진_모습', '솔직한_모습', '미숙한_모습', '자랑하는_모습', '강인_모습', '흡족한_모습', '못한_모습', '부족한_모습', '사랑스러운_모습', '뽐내고 있는_모습', '다정한_모습', '러블리한_모습', '완성된_모습', '건강한_모습', '파워풀한_모습', '당황한_모습', '한층 성장한_모습', '신선한_모습', '당황하는_모습', '완벽한_모습', '유쾌하고 밝은_모습', '괴로워하는_모습', '흥분한_모습', '겸손한_모습', '훈훈한_모습', '감동한_모습', '꾸밈없는_모습', '안절부절못하는_모습', '흘리는_모습', '완성한_모습', '수수한_모습', '잘하는_모습', '위축된_모습', '비장한_모습', '능청스러운_모습', '여유로운_모습', '화사_모습', '긴장된_모습', '자연스러운_모습', '울컥하는_모습', '진정한_모습', '재미있는_모습', '선사하는_모습', '당당한_모습', '변신한_모습', '늠름한_모습', '이루는_모습', '자유분방한_모습', '바라는_모습', '비상하는_모습', '수줍은_모습', '발랄한_모습', '누비는_모습', '울컥한_모습', '물씬 풍기는_모습', '편안한_모습', '뽐낸_모습', '귀엽_모습', '자아내고 있는_모습', '귀엽고 깜찍한_모습', '실망_모습', '도전하는_모습', '승리_모습', '유쾌한_모습', '진솔한_모습', '웃는_모습', '헤매_모습', '많은_모습', '신기_모습', '자유로운_모습', '환하게 웃는_모습', '여리여리한_모습', '당하는_모습', '간절한_모습', '자아내는_모습', '패셔니스타다운_모습', '강인한_모습', '설레는_모습', '반가운_모습', '씩씩한_모습', '완벽하게 소화해내_모습', '건강_모습', '이기_모습', '여유_모습', '설렘_모습', '성숙_모습', '청순한_모습', '추워_모습', '이야기_모습', '당황_모습', '존중하는_모습', '완벽_모습', '모르는_모습', '뿌듯한_모습', '한결같은_모습', '달달한_모습', '무너지는_모습', '완전한_모습', '흥미진진한_모습', '평범한_모습', '받은_모습', '새롭게 선보이는_모습', '훔치는_모습', '특별한_모습', '정형화된_모습', '더욱 성장한_모습', '많이 성장한_모습', '성장_모습', '우월한_모습', '무질서한_모습', '선보이는_모습', '받는_모습', '없던_모습', '싸우는_모습', '어울리는_모습', '감사하_모습', '좋아하는_모습', '위태로운_모습', '칭찬하는_모습', '독특한_모습', '거부하_모습', '유명_모습', '아니_모습', '강탈하는_모습', '내추럴한_모습', '걱정하는_모습', '상반된_모습', '어색한_모습', '만족스러운_모습', '더한_모습', '자랑_모습', '변화된_모습', '성실한_모습']"
웃음,o,['표정'],770,"[1, 1, 1, 1, 1, -1, 1, 1, 0, 1, -1, 1, 0, 0, 1, 1, 1]","['웃음_자아냈', '웃음_선사할', '웃음_감동', '웃음_선사한', '웃음_감탄', '웃음_잃지', '웃음_풋풋한', '웃음_가득한', '웃음_더한', '웃음_화사', '웃음_잃은', '웃음_더했', '웃음_막을', '웃음_놀라', '웃음_선사하는', '웃음_자신한', '웃음_선사']"
완성도,o,['기타'],743,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, -1, 1, 1]","['완성도_높였', '완성도_높은', '완성도_자랑하는', '완성도_높이는', '완성도_높이', '완성도_더했', '완성도_더욱 높였다', '완성도_받았', '완성도_더한', '완성도_선사할', '완성도_사로잡았', '완성도_아니', '완성도_자랑한', '완성도_돋보이는']"
비주얼,o,['얼굴'],740,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, -1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, -1, 0, 1, 1, 1, 1, 1, 0, -1, 0, 0]","['훈훈한_비주얼', '화려한_비주얼', '빛나는_비주얼', '완벽한_비주얼', '사랑스러운_비주얼', '화려하고 키치한_비주얼', '우월한_비주얼', '없는_비주얼', '상큼한_비주얼', '댄디한_비주얼', '신비로운_비주얼', '성숙_비주얼', '위협할_비주얼', '압도하는_비주얼', '강렬_비주얼', '세련된_비주얼', '수수한_비주얼', '우아한_비주얼', '순수한_비주얼', '청순한_비주얼', '섹시한_비주얼', '사로잡는_비주얼', '시크한_비주얼', '수려한_비주얼', '상큼_비주얼', '발랄한_비주얼', '화사한_비주얼', '성숙한_비주얼', '돋보이는_비주얼', '압도_비주얼', '한층 업그레이드된_비주얼', '숨막히는_비주얼', '싱그러운_비주얼', '한층 성장한_비주얼', '영롱한_비주얼', '날렵한_비주얼', '버금가는_비주얼', '높이는_비주얼', '좋아지는_비주얼', '놀라_비주얼', '깜찍한_비주얼', '섹시_비주얼', '러블리한_비주얼', '흐뭇한_비주얼', '톡톡 튀는_비주얼', '화사_비주얼', '감탄한_비주얼', '높은_비주얼', '성장_비주얼', '귀여움_비주얼', '반한_비주얼', '이기_비주얼', '뽐내는_비주얼', '더욱 빛나는_비주얼', '해내는_비주얼', '고급스러운_비주얼', '달콤한_비주얼', '한층 성숙해진_비주얼', '밝히_비주얼', '막히는_비주얼', '설레는_비주얼', '버리는_비주얼', '내추럴한_비주얼', '설레게 하는_비주얼', '유니크한_비주얼', '설레이는_비주얼', '완벽_비주얼', '멋있다_비주얼', '뺨치는_비주얼', '반할_비주얼', '단아한_비주얼', '짜릿한_비주얼', '훈훈_비주얼', '통통 튀는_비주얼', '완성된_비주얼', '강탈하는_비주얼', '샤프한_비주얼', '상큼발랄한_비주얼', '럭셔리한_비주얼', '훤칠한_비주얼', '설렘_비주얼', '자랑하는_비주얼', '여리여리한_비주얼', '모르는_비주얼', '키치한_비주얼', '오묘한_비주얼']"
