VP,radix,polarity
아직 부족한,None,-1
저조한,None,-1
무리없이 소화하는,None,-1
훨씬 저조한,None,-1
극악무도한,None,-1
보통 무례한,None,-1
상당히 어색한,None,-1
생뚱맞,None,-1
고통스러워하는,None,-1
저열한,None,-1
너무 끔찍한,None,-1
친하지 않은,None,-1
많이 부족한,None,-1
매우 심각한,None,-1
가장 불안해했던,None,-1
다소 엉성한,None,-1
미성숙한,None,-1
움츠러있는,None,-1
아주 곤란한,None,-1
빈약한,None,-1
타락한,None,-1
패닉으로 몰아넣은,None,-1
거짓된,None,-1
무색할,None,-1
손절한,None,-1
고통받는,None,-1
혹평했,None,-1
뜬금없는,None,-1
실패한,None,-1
무미건조한,None,-1
불필요한,None,-1
자만하,None,-1
격앙된,None,-1
우왕좌왕하던,None,-1
기괴한,None,-1
과도한,None,-1
아이러니한,None,-1
상처받은,None,-1
불가능한,None,-1
우려되는,None,-1
안일한,None,-1
기죽이는,None,-1
우수에 젖은,None,-1
당황스러웠던,None,-1
어려웠던,None,-1
앙상한,None,-1
불미스러운,None,-1
미스터리한,None,-1
미흡했던,None,-1
잔인무도한,None,-1
못했던,None,-1
선동,선하,-1
원통하,원통,-1
희석,희,-1
강행,강하,-1
잘리,잘하,-1
수습,수습,-1
정색,정하,-1
착취,착하,-1
수습했,수습,-1
엄단,엄하,-1
엄하,엄하,-1
엄벌,엄하,-1
엄중,엄하,-1
반성,반하,-1
서늘하,서늘,-1
실종,실하,-1
지적,지적,-1
지적받,지적,-1
지적한,지적,-1
지적하,지적,-1
실패,실패,-1
지적했,지적,-1
아니,아니하,-1
못했,못하,-1
못하는,못하,-1
아찔한,아찔,-1
못하,못하,-1
아쉽,아쉽,-1
모르는,모르,-1
복잡한,복잡,-1
힘들,힘들,-1
어렵,어렵,-1
부족한,부족,-1
불리,불리하,-1
살벌한,살벌,-1
잘못된,잘못,-1
놓치,놓치,-1
아프,아프,-1
중단하,중단,-1
거부하,거부,-1
분석,분하,-1
당했,당하,-1
복잡하,복잡,-1
떨어지는,떨어지,-1
긴장한,긴장,-1
잃은,잃,-1
경솔한,경솔,-1
흘리,흘리,-1
걱정,걱정,-1
아니었,아니하,-1
쓸쓸한,쓸쓸,-1
지치,지,-1
심각한,심각,-1
답답한,답답,-1
죄송하,죄송,-1
죽기,죽,-1
답답함,답답,-1
떨리,떨,-1
죽이,죽이,-1
먹먹하,먹먹,-1
어색한,어색,-1
어렵다,어렵,-1
당하는,당하,-1
미안하,미안,-1
어둡,어둡,-1
힘들었,힘들,-1
죄송,죄송,-1
부족하,부족,-1
비추,비추하,-1
중단하였,중단,-1
어리석은,어리석,-1
